job_title,industry,experience,city,state,salary
Legislative Aide (Congress),Government,1 year or less,New York,NY,46000.0
Law Clerk,Law,8 - 10 years,Atlanta,GA,110000.0
Senior Business Analyst,Marketing,8 - 10 years,Boston,MA,90000.0
EDI,Garment,41 years or more,New York,NY,66000.0
junior web designer,Hospitality,5 - 7 years,New York,NY,57000.0
Project Director,Nonprofit,8 - 10 years,Washington,DC,75000.0
"Public Relations, Senior Manager",Technology,11 - 20 years,Boston,MA,193000.0
Investment Adviser,Financial Services,11 - 20 years,Atlanta,GA,120000.0
Analyst,Payments/Financial Services,8 - 10 years,Houston,TX,67000.0
Resident Physician (Intern),Healthcare,1 year or less,Chicago,IL,54000.0
Supply Chain Manager,CPG,8 - 10 years,Los Angeles,CA,90000.0
IT Lead,Pharma,11 - 20 years,Philadelphia,PA,162000.0
Senior Software Engineer,Electronic Design Automation,11 - 20 years,Portland,OR,105000.0
Bibliographic specialist,Academia,21 - 30 years,Philadelphia,PA,60000.0
Program Coordinator,Higher Education,5 - 7 years,St. Louis,MO,45500.0
Project Engineer,Automotive,11 - 20 years,New York,NY,74500.0
Office Manager,Tech,2 - 4 years,Austin,TX,48000.0
Project Manager,publishing & media,11 - 20 years,New York,NY,62000.0
Director of Talent,SaaS,11 - 20 years,Boston,MA,100000.0
Union Organizer,Activism,2 - 4 years,San Diego,CA,55000.0
Accounting Manager,Food & Beverage,8 - 10 years,Boston,MA,96000.0
Director of Communications,State Government,5 - 7 years,Atlanta,GA,100000.0
Data Scientist,Energy,5 - 7 years,Houston,TX,92500.0
Senior Actuarial Analyst,Insurance,5 - 7 years,Philadelphia,PA,115000.0
Billing Specialist,Entertainment Technology,11 - 20 years,Los Angeles,CA,69000.0
Social Media Specialist,Digital Marketing,2 - 4 years,Minneapolis,MN,60000.0
Ethics Manager,Banking,11 - 20 years,Atlanta,GA,92500.0
Attorney,Legal,21 - 30 years,Washington,DC,170000.0
Instructional Designer,Healthcare,8 - 10 years,Seattle,WA,70000.0
Product Manager,Online media/tech,11 - 20 years,New York,NY,100000.0
College Success Advisor,Education Non-profit,21 - 30 years,Boston,MA,47500.0
Associate Provost,Higher Education,11 - 20 years,St. Louis,MO,112000.0
Executive Assistant,Management Consulting,11 - 20 years,Chicago,IL,75000.0
Creative Director,PR,8 - 10 years,Chicago,IL,70000.0
Associate Attorney,Legal,5 - 7 years,San Diego,CA,105000.0
Administrative Assistant,Religious Institution,8 - 10 years,New York,NY,56000.0
Director,Insurance (Property Casualty),11 - 20 years,Minneapolis,MN,104000.0
Product Marketing Manager,Tech,2 - 4 years,New York,NY,90000.0
Office Manager,Higher Ed,11 - 20 years,Portland,OR,52000.0
Senior Content Marketing Strategist,Tech,21 - 30 years,Chicago,IL,82500.0
Associate Attorney,Legal,2 - 4 years,Pittsburgh,PA,220000.0
"Teacher, private high school",Education,8 - 10 years,Los Angeles,CA,82000.0
Director,Market Research,11 - 20 years,New York,NY,95000.0
Operations Manager,Technology,2 - 4 years,Washington,DC,87000.0
